agent_id,mean_across_runs,std_across_runs,min_across_runs,max_across_runs,best_run,worst_run
267,25.363333333333333,0.6586391694665279,24.7,26.416666666666668,Run 1,Run 3
268,21.523333333333333,0.8585032194335546,20.5,22.883333333333333,Run 1,Run 2
269,20.43666666666666,0.8591339308344837,19.58333333333333,21.383333333333333,Run 2,Run 5
270,13.556666666666668,0.8340496920980708,12.616666666666667,14.883333333333331,Run 2,Run 3
271,24.669999999999998,0.9311283477587823,23.65,25.68333333333333,Run 2,Run 5
272,20.106666666666666,0.8528221124921403,19.066666666666663,21.0,Run 3,Run 5
273,33.49666666666666,0.7445543036683818,32.833333333333336,34.65,Run 3,Run 2
274,33.15,0.9223309842157775,31.98333333333333,34.266666666666666,Run 4,Run 3
275,26.543333333333333,1.1365518026029433,25.416666666666668,27.78333333333333,Run 2,Run 4
276,13.820000000000002,0.8741186036993691,12.75,14.833333333333334,Run 2,Run 1
277,10.403333333333332,0.7175769412869023,9.866666666666667,11.633333333333333,Run 2,Run 1
278,31.28666666666667,0.6838818936369381,30.4,31.98333333333333,Run 2,Run 3
279,24.72,0.7430604880417794,23.883333333333333,25.33333333333333,Run 1,Run 5
280,26.279999999999994,0.7643443086870105,25.65,27.55,Run 2,Run 4
281,7.489999999999999,0.779298117253953,6.833333333333333,8.75,Run 3,Run 1
282,30.526666666666664,0.7487582312662009,29.5,31.55,Run 5,Run 1
283,26.5,0.9063816954119119,25.366666666666667,27.516666666666662,Run 2,Run 3
284,9.523333333333333,0.2810199676575002,9.166666666666666,9.85,Run 2,Run 5
285,16.28333333333333,1.0113934282299186,14.783333333333331,17.066666666666666,Run 3,Run 5
286,24.173333333333332,0.5734399125743981,23.65,25.15,Run 3,Run 2
287,23.29,0.5354904294196133,22.33333333333333,23.55,Run 2,Run 1
288,17.759999999999998,0.5294913701951255,17.366666666666667,18.683333333333334,Run 1,Run 4
289,20.246666666666663,0.435953616289114,19.78333333333333,20.75,Run 2,Run 5
290,18.57,0.6427372022149577,18.016666666666666,19.683333333333334,Run 5,Run 2
291,22.37666666666667,0.8719072325782271,21.5,23.666666666666668,Run 1,Run 4
292,32.23,0.8672594126839385,31.25,33.35,Run 3,Run 4
293,7.8166666666666655,0.8234412884690416,7.083333333333333,9.1,Run 3,Run 1
294,19.056666666666665,0.9546378021707161,18.266666666666666,20.1,Run 3,Run 2
295,23.563333333333336,0.7962934969804385,22.98333333333333,24.6,Run 2,Run 3
296,24.509999999999998,0.9025119266678838,23.83333333333333,26.016666666666662,Run 2,Run 4
297,16.610000000000003,0.9642642560810574,15.783333333333331,18.15,Run 3,Run 5
298,7.74,0.5406528974818825,7.4333333333333345,8.7,Run 2,Run 4
299,25.413333333333334,0.8592955771379777,24.383333333333333,26.18333333333333,Run 5,Run 2
